variable_1,variable_1_label,variable_2,variable_2_label,n,pearson_r,p_value
tax_richness_per_hectare,Tax. richness,quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,0.104510,0.515511
mean_height_log,Mean Height,street_tree_percent,Street trees (% of trees),41,0.101588,0.527387
health_color_height_prop_cubed,Canopy Health Index(height-wieghted),street_tree_percent,Street trees (% of trees),41,-0.101080,0.529463
street_tree_percent,Street trees (% of trees),arbuscular_prop,AMF abund. (% of trees),41,-0.099260,0.536939
percent_angio_cubed,Angio. abund. (% of trees),acer_height_sum_prop,Maple abund. (% height),41,0.095477,0.552643
health_color_squared,Color. & Intact. (% canopy),arbuscular_height_prop_squared,AMF abund. (% height),41,-0.093660,0.560263
percent_angio_cubed,Angio. abund. (% of trees),acer_count_per_tree_count,Maple abund. (% of trees),41,0.092710,0.564265
health_color_squared,Color. & Intact. (% canopy),quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,0.092259,0.566167
health_color_height_prop_cubed,Canopy Health Index(height-wieghted),quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,0.091661,0.568700
species_true_evenness,Tax. evenness,diffuse_prop,D-porous abund. (% trees),41,-0.091020,0.571419
soil_access_per_tree_count_sqrt,Soil restrictions,percent_angio_cubed,Angio. abund. (% of trees),41,-0.090343,0.574293
health_color_squared,Color. & Intact. (% canopy),arbuscular_prop,AMF abund. (% of trees),41,0.088300,0.583015
tree_health_mean,Intactness (% canopy),arbuscular_height_prop_squared,AMF abund. (% height),41,-0.087206,0.587710
mean_height_log,Mean Height,acer_count_per_tree_count,Maple abund. (% of trees),41,0.081931,0.610577
health_color_height_prop_cubed,Canopy Health Index(height-wieghted),diffuse_height_prop,D-porous abund. (% height),41,0.081403,0.612889
percent_angio_cubed,Angio. abund. (% of trees),quercus_height_sum_prop_sqrt,Oak abund. (% height),41,-0.080237,0.618003
genera_true_evenness,Genus evenness,soil_access_per_tree_count_sqrt,Soil restrictions,41,-0.076470,0.634644
stressors_sum_per_tree_count,Damage score,diffuse_prop,D-porous abund. (% trees),41,-0.074010,0.645610
species_true_evenness,Tax. evenness,street_tree_percent,Street trees (% of trees),41,0.071812,0.655467
arbuscular_prop,AMF abund. (% of trees),diffuse_prop,D-porous abund. (% trees),41,-0.069148,0.667495
genera_true_evenness,Genus evenness,arbuscular_prop,AMF abund. (% of trees),41,-0.068339,0.671164
